Lon,Lat,State,Total Cases
79.7399875,15.9128998,Andhra Pradesh,2
81.8661442,21.2786567,Chattisgarh,1
77.1024902,28.7040592,Delhi,12
76.085601,29.0587757,Haryana,17
75.7138884,15.3172775,Karnataka,14
76.2710833,10.8505159,Kerala,27
75.7138884,19.7514798,Maharashtra,47
85.0985236,20.9516658,Odisha,1
79.8082865,11.9415524,Puducherry,1
75.3412179,31.1471305,Punjab,2
74.2179326,27.0238036,Rajasthan,7
78.6568942,11.1271225,Tamil Nadu,2
79.0192997,18.1124372,Telengana,6
76.7794179,30.7333148,Union Territory of Chandigarh,1
76.5761714,33.778175,Union Territory of Jammu and Kashmir,4
78.2931706,34.2996176,Union Territory of Ladakh,8
80.9461592,26.8467088,Uttar Pradesh,19
79.0192997,30.066753,Uttarakhand,1
87.8549755,22.9867569,West Bengal,1
