State,Lon,Lat,IndianNationals,ForeignNationals,Total Cases,Recovered,Deceased,Active Cases
Andaman and Nicobar Islands,92.6586401,11.7400867,1,0,1,0,0,1
Andhra Pradesh,79.7399875,15.9128998,12,0,12,1,0,11
Bihar,85.3131194,25.0960742,6,0,6,0,1,5
Chandigarh,76.7794179,30.7333148,7,0,7,0,0,7
Chhattisgarh,81.8661442,21.2786567,6,0,6,0,0,6
Delhi,77.1024902,28.7040592,35,1,36,6,1,29
Goa,74.123996,15.2993265,3,0,3,0,0,3
Gujarat,71.1923805,22.258652,42,1,43,0,3,40
Haryana,76.085601,29.0587757,16,14,30,11,0,19
Himachal Pradesh,77.1733901,31.1048294,3,0,3,0,1,2
Jammu and Kashmir,76.5761714,33.778175,13,0,13,1,1,11
Karnataka,75.7138884,15.3172775,55,0,55,3,2,50
Kerala,76.2710833,10.8505159,129,8,137,11,0,126
Ladakh,78.2931706,34.2996176,13,0,13,3,0,10
Madhya Pradesh,78.6568942,22.9734229,20,0,20,0,1,19
Maharashtra,75.7138884,19.7514798,127,3,130,15,4,111
Manipur,93.9062688,24.6637173,1,0,1,0,0,1
Mizoram,92.9375739,23.164543,1,0,1,0,0,1
Odisha,85.0985236,20.9516658,2,0,2,0,0,2
Puducherry,79.8082865,11.9415524,1,0,1,0,0,1
Punjab,75.3412179,31.1471305,33,0,33,0,1,32
Rajasthan,74.2179326,27.0238036,39,2,41,3,0,38
Tamil Nadu,78.6568942,11.1271225,23,6,29,1,1,27
Telangana,79.0192997,18.1124372,35,10,45,1,0,44
Uttar Pradesh,80.9461592,26.8467088,40,1,41,11,0,30
Uttarakhand,79.0192997,30.066753,4,1,5,0,0,5
West Bengal,87.8549755,22.9867569,10,0,10,0,1,9
