Date,Total Cases,Cases Changed,Total Deaths,Deaths Changed,Day
3/28/20,909,75,19,1,59
3/27/20,834,140,18,2,58
3/26/20,694,88,16,4,57
3/25/20,606,87,12,3,56
3/24/20,519,85,9,0,55
3/23/20,434,74,9,2,54
3/22/20,360,77,7,3,53
3/21/20,283,60,4,0,52
3/20/20,223,50,4,0,51
3/19/20,173,22,4,1,50
3/18/20,151,14,3,0,49
3/17/20,137,19,3,1,48
3/16/20,118,11,2,0,47
3/15/20,107,10,2,0,46
3/14/20,97,16,2,1,45
3/13/20,81,8,1,0,44
3/12/20,73,13,1,1,43
3/11/20,60,10,0,0,42
3/10/20,50,6,0,0,41
3/9/20,44,5,0,0,40
3/8/20,39,5,0,0,39
3/7/20,34,3,0,0,38
3/6/20,31,1,0,0,37
3/5/20,30,2,0,0,36
3/4/20,28,23,0,0,35
3/3/20,5,0,0,0,34
3/2/20,5,2,0,0,33
3/1/20,3,0,0,0,32
2/29/20,3,0,0,0,31
2/28/20,3,0,0,0,30
2/27/20,3,0,0,0,29
2/26/20,3,0,0,0,28
2/25/20,3,0,0,0,27
2/24/20,3,0,0,0,26
2/23/20,3,0,0,0,25
2/22/20,3,0,0,0,24
2/21/20,3,0,0,0,23
2/20/20,3,0,0,0,22
2/19/20,3,0,0,0,21
2/18/20,3,0,0,0,20
2/17/20,3,0,0,0,19
2/16/20,3,0,0,0,18
2/15/20,3,0,0,0,17
2/14/20,3,0,0,0,16
2/13/20,3,0,0,0,15
2/12/20,3,0,0,0,14
2/11/20,3,0,0,0,13
2/10/20,3,0,0,0,12
2/9/20,3,0,0,0,11
2/8/20,3,0,0,0,10
2/7/20,3,0,0,0,9
2/6/20,3,0,0,0,8
2/5/20,3,0,0,0,7
2/4/20,3,0,0,0,6
2/3/20,3,1,0,0,5
2/2/20,2,1,0,0,4
2/1/20,1,0,0,0,3
1/31/20,1,0,0,0,2
1/30/20,1,1,0,0,1
