,TotalCases,CasesChanged,TotalDeaths,DeathsChanged,Day
5/8/20,3938080,92362,274898,5331,108
5/7/20,3845718,90377,269567,5736,107
5/6/20,3755341,92650,263831,6592,106
5/5/20,3662691,79636,257239,5702,105
5/4/20,3583055,76326,251537,4067,104
5/3/20,3506729,79145,247470,3657,103
5/2/20,3427584,83807,243813,5194,102
5/1/20,3343777,86867,238619,5259,101
4/30/20,3256910,84623,233360,5695,100
4/29/20,3172287,75058,227665,6864,99
4/28/20,3097229,73507,220801,6357,98
4/27/20,3023722,68689,214444,4544,97
4/26/20,2955033,73893,209900,3713,96
4/25/20,2881140,85409,206187,6190,95
4/24/20,2795731,87328,199997,6332,94
4/23/20,2708403,83801,193665,6753,93
4/22/20,2624602,75564,186912,6677,92
4/21/20,2549038,77311,180235,7138,91
4/20/20,2471727,70951,173097,5325,90
4/19/20,2400776,83542,167772,4558,89
4/18/20,2317234,77606,163214,6410,88
4/17/20,2239628,87836,156804,8858,87
4/16/20,2151792,96369,147946,7288,86
4/15/20,2055423,79866,140658,8219,85
4/14/20,1975557,70400,132439,6878,84
4/13/20,1905157,70012,125561,5708,83
4/12/20,1835145,99120,119853,5707,82
4/11/20,1736025,78096,114146,6033,81
4/10/20,1657929,92391,108113,7231,80
4/9/20,1565538,85338,100882,7528,79
4/8/20,1480200,83762,93354,6692,78
4/7/20,1396438,75011,86662,7895,77
4/6/20,1321427,71690,78767,5691,76
4/5/20,1249737,73678,73076,5095,75
4/4/20,1176059,80183,67981,6169,74
4/3/20,1095876,82418,61812,5995,73
4/2/20,1013458,80820,55817,6142,72
4/1/20,932638,75030,49675,5437,71
3/31/20,857608,75118,44238,4799,70
3/30/20,782490,62205,39439,4116,69
3/29/20,720285,59461,35323,3526,68
3/28/20,660824,67401,31797,3509,67
3/27/20,593423,63722,28288,3500,66
3/26/20,529701,61978,24788,3003,65
3/25/20,467723,49644,21785,2771,64
3/24/20,418079,39797,19014,2255,63
3/23/20,378282,41264,16759,1934,62
3/22/20,337018,32463,14825,1700,61
3/21/20,304555,32308,13125,1703,60
3/20/20,272247,29631,11422,1476,59
3/19/20,242616,27770,9946,1123,58
3/18/20,214846,17733,8823,867,57
3/17/20,197113,15510,7956,806,56
3/16/20,181603,14137,7150,678,55
3/15/20,167466,11350,6472,642,54
3/14/20,156116,10897,5830,422,53
3/13/20,145219,16867,5408,686,52
3/12/20,128352,2477,4722,108,51
3/11/20,125875,7255,4614,351,50
3/10/20,118620,5030,4263,276,49
3/9/20,113590,3769,3987,186,48
3/8/20,109821,3974,3801,243,47
3/7/20,105847,4046,3558,99,46
3/6/20,101801,3915,3459,112,45
3/5/20,97886,2766,3347,93,44
3/4/20,95120,2280,3254,94,43
3/3/20,92840,2534,3160,75,42
3/2/20,90306,1937,3085,89,41
3/1/20,88369,2358,2996,55,40
2/29/20,86011,1899,2941,69,39
2/28/20,84112,1366,2872,58,38
2/27/20,82746,1358,2814,44,37
2/26/20,81388,982,2770,62,36
2/25/20,80406,845,2708,79,35
2/24/20,79561,603,2629,160,34
2/23/20,78958,386,2469,11,33
2/22/20,78572,1753,2458,207,32
2/21/20,76819,622,2251,4,31
2/20/20,76197,558,2247,125,30
2/19/20,75639,503,2122,115,29
2/18/20,75136,1878,2007,139,28
2/17/20,73258,2034,1868,98,27
2/16/20,71224,2194,1770,104,26
2/15/20,69030,2145,1666,143,25
2/14/20,66885,6517,1523,152,24
2/13/20,60368,15147,1371,253,23
2/12/20,45221,419,1118,5,22
2/11/20,44802,2040,1113,100,21
2/10/20,42762,2612,1013,107,20
2/9/20,40150,3030,906,100,19
2/8/20,37120,2729,806,87,18
2/7/20,34391,3597,719,85,17
2/6/20,30794,3159,634,70,16
2/5/20,27635,3743,564,72,15
2/4/20,23892,4011,492,66,14
2/3/20,19881,3094,426,64,13
2/2/20,16787,4749,362,103,12
2/1/20,12038,2111,259,46,11
1/31/20,9927,1693,213,42,10
1/30/20,8234,2068,171,38,9
1/29/20,6166,588,133,2,8
1/28/20,5578,2651,131,49,7
1/27/20,2927,809,82,26,6
1/26/20,2118,684,56,14,5
1/25/20,1434,493,42,16,4
1/24/20,941,287,26,8,3
1/23/20,654,99,18,1,2
1/22/20,555,17,NA,NA,1
