,TotalCases,CasesChanged,TotalDeaths,DeathsChanged,Day
6/29/20,548318,19459,16475,380,152
6/28/20,528859,19906,16095,410,151
6/27/20,508953,18552,15685,384,150
6/26/20,490401,17296,15301,407,149
6/25/20,473105,16922,14894,418,148
6/24/20,456183,15968,14476,465,147
6/23/20,440215,14933,14011,312,146
6/22/20,425282,14821,13699,445,145
6/21/20,410461,15413,13254,306,144
6/20/20,395048,14516,12948,375,143
6/19/20,380532,13586,12573,336,142
6/18/20,366946,12881,12237,334,141
6/17/20,354065,10974,11903,2003,140
6/16/20,343091,10667,9900,380,139
6/15/20,332424,11502,9520,325,138
6/14/20,320922,11929,9195,311,137
6/13/20,308993,11458,8884,386,136
6/12/20,297535,10956,8498,396,135
6/11/20,286579,9996,8102,357,134
6/10/20,276583,9985,7745,274,133
6/9/20,266598,9987,7471,271,132
6/8/20,256611,9983,7200,271,131
6/7/20,246628,9971,6929,287,130
6/6/20,236657,9887,6642,294,129
6/5/20,226770,9851,6348,273,128
6/4/20,216919,9304,6075,260,127
6/3/20,207615,8909,5815,217,126
6/2/20,198706,8171,5598,204,125
6/1/20,190535,8392,5394,230,124
5/31/20,182143,8380,5164,193,123
5/30/20,173763,7964,4971,265,122
5/29/20,165799,7466,4706,175,121
5/28/20,158333,6566,4531,194,120
5/27/20,151767,6387,4337,170,119
5/26/20,145380,6535,4167,146,118
5/25/20,138845,6977,4021,154,117
5/24/20,131868,6767,3867,147,116
5/23/20,125101,6654,3720,137,115
5/22/20,118447,6088,3583,148,114
5/21/20,112359,5609,3435,132,113
5/20/20,106750,5611,3303,140,112
5/19/20,101139,4970,3163,134,111
5/18/20,96169,5242,3029,157,110
5/17/20,90927,4987,2872,120,109
5/16/20,85940,3970,2752,103,108
5/15/20,81970,3967,2649,100,107
5/14/20,78003,3722,2549,134,106
5/13/20,74281,3525,2415,122,105
5/12/20,70756,3604,2293,87,104
5/11/20,67152,4213,2206,97,103
5/10/20,62939,3277,2109,128,102
5/9/20,59662,3320,1981,95,101
5/8/20,56342,3390,1886,103,100
5/7/20,52952,3561,1783,89,99
5/6/20,49391,2680,1694,156,98
5/5/20,46711,3875,1538,149,97
5/4/20,42836,2573,1389,83,96
5/3/20,40263,2487,1306,83,95
5/2/20,37776,2411,1223,71,94
5/1/20,35365,2303,1152,73,93
4/30/20,33062,1275,1079,71,92
4/29/20,31787,1813,1008,71,91
4/28/20,29974,1594,937,51,90
4/27/20,28380,1463,886,60,89
4/26/20,26917,1975,826,47,88
4/25/20,24942,1490,779,56,87
4/24/20,23452,1752,723,37,86
4/23/20,21700,1229,686,34,85
4/22/20,20471,1486,652,49,84
4/21/20,18985,1329,603,44,83
4/20/20,17656,1540,559,40,82
4/19/20,16116,1324,519,31,81
4/18/20,14792,1405,488,51,80
4/17/20,13387,628,437,17,79
4/16/20,12759,826,420,28,78
4/15/20,11933,1570,392,53,77
4/14/20,10363,1011,339,15,76
4/13/20,9352,905,324,51,75
4/12/20,8447,918,273,31,74
4/11/20,7529,768,242,36,73
4/10/20,6761,896,206,37,72
4/9/20,5865,591,169,20,71
4/8/20,5274,485,149,25,70
4/7/20,4789,508,124,13,69
4/6/20,4281,704,111,28,68
4/5/20,3577,505,83,8,67
4/4/20,3072,525,75,13,66
4/3/20,2547,478,62,9,65
4/2/20,2069,235,53,12,64
4/1/20,1834,437,41,6,63
3/31/20,1397,146,35,3,62
3/30/20,1251,227,32,5,61
3/29/20,1024,106,27,7,60
3/28/20,918,84,20,2,59
3/27/20,834,140,18,2,58
3/26/20,694,88,16,4,57
3/25/20,606,87,12,3,56
3/24/20,519,85,9,0,55
3/23/20,434,74,9,2,54
3/22/20,360,77,7,3,53
3/21/20,283,60,4,0,52
3/20/20,223,50,4,0,51
3/19/20,173,22,4,1,50
3/18/20,151,14,3,0,49
3/17/20,137,19,3,1,48
3/16/20,118,11,2,0,47
3/15/20,107,10,2,0,46
3/14/20,97,16,2,1,45
3/13/20,81,8,1,0,44
3/12/20,73,13,1,1,43
3/11/20,60,10,0,0,42
3/10/20,50,6,0,0,41
3/9/20,44,5,0,0,40
3/8/20,39,5,0,0,39
3/7/20,34,3,0,0,38
3/6/20,31,1,0,0,37
3/5/20,30,2,0,0,36
3/4/20,28,22,0,0,35
3/3/20,6,1,0,0,34
3/2/20,5,2,0,0,33
3/1/20,3,0,0,0,32
2/29/20,3,0,0,0,31
2/28/20,3,0,0,0,30
2/27/20,3,0,0,0,29
2/26/20,3,0,0,0,28
2/25/20,3,0,0,0,27
2/24/20,3,0,0,0,26
2/23/20,3,0,0,0,25
2/22/20,3,0,0,0,24
2/21/20,3,0,0,0,23
2/20/20,3,0,0,0,22
2/19/20,3,0,0,0,21
2/18/20,3,0,0,0,20
2/17/20,3,0,0,0,19
2/16/20,3,0,0,0,18
2/15/20,3,0,0,0,17
2/14/20,3,0,0,0,16
2/13/20,3,0,0,0,15
2/12/20,3,0,0,0,14
2/11/20,3,0,0,0,13
2/10/20,3,0,0,0,12
2/9/20,3,0,0,0,11
2/8/20,3,0,0,0,10
2/7/20,3,0,0,0,9
2/6/20,3,0,0,0,8
2/5/20,3,0,0,0,7
2/4/20,3,0,0,0,6
2/3/20,3,1,0,0,5
2/2/20,2,1,0,0,4
2/1/20,1,0,0,0,3
1/31/20,1,0,0,0,2
1/30/20,1,0,0,0,1
